"area","date","municipality","use","stratum","consumption"
"R",2012-02-29,"POLICARPA","Especial",0,1117.327
"U",2012-02-29,"BARBACOAS","Industrial",0,1123.062
"R",2012-02-29,"EL ROSARIO","Oficial",0,1218.543
"U",2012-02-29,"LEIVA","Residencial 1",1,1270.504
"R",2012-02-29,"CUMBITARA","Residencial 2",2,1292.053
"R",2012-02-29,"POLICARPA","Residencial 2",2,1439.141
"R",2012-02-29,"POLICARPA","Residencial 2",2,1455.681
"R",2012-02-29,"CUMBITARA","Comercial",0,1463.808
"U",2012-02-29,"EL ROSARIO","Oficial",0,1469.527
"R",2012-02-29,"EL ROSARIO","Residencial 1",1,1469.527
"R",2012-02-29,"EL ROSARIO","Especial",0,1516.814
"R",2012-02-29,"EL ROSARIO","Residencial 2",2,1800.535
"R",2012-02-29,"BARBACOAS","Especial",0,1879.814
"U",2012-02-29,"EL ROSARIO","Comercial",0,2135.179
"R",2012-02-29,"LEIVA","Residencial 2",2,2150.961
"U",2012-02-29,"POLICARPA","Comercial",0,2322.874
"U",2012-02-29,"POLICARPA","Oficial",0,2364.038
"U",2012-02-29,"BARBACOAS","Residencial 3",3,2604.956
"U",2012-02-29,"EL ROSARIO","Especial",0,2808.106
"R",2012-02-29,"LEIVA","Residencial 1",1,3085.218
"U",2012-02-29,"POLICARPA","Residencial 1",1,4374.563
"U",2012-02-29,"POLICARPA","Residencial 2",2,4929.467
"U",2012-02-29,"LEIVA","Oficial",0,6029.272
"U",2012-02-29,"LEIVA","Residencial 2",2,6176.642
"R",2012-02-29,"BARBACOAS","Oficial",0,7122.184
"R",2012-02-29,"POLICARPA","Residencial 1",1,7404.728
"R",2012-02-29,"ROBERTO PAYAN","Residencial 1",1,9055.48
"U",2012-02-29,"CUMBITARA","Residencial 2",2,9534.724
"U",2012-02-29,"CUMBITARA","Residencial 1",1,9932.399
"R",2012-02-29,"ROBERTO PAYAN","Residencial Sub",1,16951.152
"U",2012-02-29,"EL ROSARIO","Residencial 2",2,27004.376
"R",2012-02-29,"CUMBITARA","Residencial 1",1,27418.842
"U",2012-02-29,"BARBACOAS","Oficial",0,28918.958
"U",2012-02-29,"MAGUI","Residencial Sub",1,33547.129
"R",2012-02-29,"MAGUI","Residencial Sub",1,37478.505
"U",2012-02-29,"BARBACOAS","Comercial",0,38547.514
"U",2012-02-29,"ROBERTO PAYAN","Residencial Sub",1,54507.587
"U",2012-02-29,"EL ROSARIO","Residencial 1",1,55612.867
"U",2012-02-29,"BARBACOAS","Residencial 2",2,66530.463
"U",2012-02-29,"POLICARPA","Residencial 1",1,71333.898
"R",2012-02-29,"LEIVA","Residencial 1",1,80867.443
"R",2012-02-29,"EL ROSARIO","Residencial 1",1,126290.68
"U",2012-02-29,"LEIVA","Residencial 1",1,133381.35
"R",2012-02-29,"POLICARPA","Residencial 1",1,165605.65
"R",2012-02-29,"BARBACOAS","Residencial 1",1,203090.3
"U",2012-02-29,"BARBACOAS","Residencial 1",1,292200.37
"U",2012-03-31,"CUMBITARA","Residencial 2",2,37.789
"R",2012-03-31,"CUMBITARA","Oficial",0,41.725
"U",2012-03-31,"CUMBITARA","Residencial 3",3,112.579
"U",2012-03-31,"POLICARPA","Especial",0,146.441
"R",2012-03-31,"CUMBITARA","Residencial 2",2,150.368
"R",2012-03-31,"MAGUI","Oficial",0,210.898
"R",2012-03-31,"CUMBITARA","Residencial 1",1,234.606
"R",2012-03-31,"POLICARPA","Comercial",0,256.272
"R",2012-03-31,"POLICARPA","Residencial 3",3,382.744
"R",2012-03-31,"LEIVA","Comercial",0,411.402
"R",2012-03-31,"CUMBITARA","Especial",0,469.562
"R",2012-03-31,"BARBACOAS","Residencial 2",2,501.237
"U",2012-03-31,"EL ROSARIO","Residencial 1",1,539.183
"U",2012-03-31,"BARBACOAS","Residencial Sub",1,608.644
"U",2012-03-31,"CUMBITARA","Residencial 1",1,633.058
"R",2012-03-31,"POLICARPA","Oficial",0,652.329
"R",2012-03-31,"BARBACOAS","Comercial",0,696.045
"R",2012-03-31,"LEIVA","Especial",0,743.688
"R",2012-03-31,"CUMBITARA","Residencial 2",2,830.564
"U",2012-03-31,"LEIVA","Comercial",0,873.437
"R",2012-03-31,"POLICARPA","Oficial",0,905.272
"R",2012-03-31,"LEIVA","Oficial",0,946.224
"R",2012-03-31,"BARBACOAS","Especial",0,1035.012
"R",2012-03-31,"EL ROSARIO","Especial",0,1042.42
"U",2012-03-31,"CUMBITARA","Oficial",0,1044.697
"U",2012-03-31,"CUMBITARA","Comercial",0,1122.637
"U",2012-03-31,"CUMBITARA","Oficial",0,1124.212
"U",2012-03-31,"MAGUI","Oficial",0,1182.064
"U",2012-03-31,"BARBACOAS","Industrial",0,1192.016
"R",2012-03-31,"EL ROSARIO","Residencial 2",2,1200.58
"R",2012-03-31,"POLICARPA","Residencial 2",2,1351.253
"R",2012-03-31,"EL ROSARIO","Residencial 1",1,1376.713
"U",2012-03-31,"EL ROSARIO","Oficial",0,1427.037
"R",2012-03-31,"POLICARPA","Especial",0,1452.764
"U",2012-03-31,"LEIVA","Residencial 1",1,1471.553
"R",2012-03-31,"POLICARPA","Residencial 2",2,1620.837
"U",2012-03-31,"BARBACOAS","Residencial 3",3,1764.859
"R",2012-03-31,"LEIVA","Residencial 2",2,1765.865
"U",2012-03-31,"POLICARPA","Comercial",0,1786.137
"R",2012-03-31,"CUMBITARA","Comercial",0,1817.159
"R",2012-03-31,"EL ROSARIO","Oficial",0,1879.95
"U",2012-03-31,"EL ROSARIO","Comercial",0,2296.917
"R",2012-03-31,"LEIVA","Residencial 1",1,2538.033
"U",2012-03-31,"EL ROSARIO","Especial",0,2821.721
"U",2012-03-31,"POLICARPA","Residencial 1",1,2849.078
"U",2012-03-31,"POLICARPA","Oficial",0,3615.032
"R",2012-03-31,"BARBACOAS","Oficial",0,4808.249
"U",2012-03-31,"POLICARPA","Residencial 2",2,5569.757
"U",2012-03-31,"LEIVA","Residencial 2",2,5778.614
"U",2012-03-31,"LEIVA","Oficial",0,7088.008
"R",2012-03-31,"ROBERTO PAYAN","Residencial 1",1,7330.112
"R",2012-03-31,"POLICARPA","Residencial 1",1,8042.891
"U",2012-03-31,"CUMBITARA","Residencial 2",2,11494.828
"U",2012-03-31,"CUMBITARA","Residencial 1",1,12419.077
"R",2012-03-31,"ROBERTO PAYAN","Residencial Sub",1,16400.003
"U",2012-03-31,"BARBACOAS","Oficial",0,22535.766
"U",2012-03-31,"EL ROSARIO","Residencial 2",2,23204.619
"U",2012-03-31,"BARBACOAS","Comercial",0,27015.708
"R",2012-03-31,"CUMBITARA","Residencial 1",1,29931.302
"U",2012-03-31,"MAGUI","Residencial Sub",1,31479.026
"R",2012-03-31,"MAGUI","Residencial Sub",1,34166.822
"U",2012-03-31,"ROBERTO PAYAN","Residencial Sub",1,44324.688
"U",2012-03-31,"EL ROSARIO","Residencial 1",1,50496.027
"U",2012-03-31,"BARBACOAS","Residencial 2",2,51655.843
"R",2012-03-31,"LEIVA","Residencial 1",1,71963.342
"U",2012-03-31,"POLICARPA","Residencial 1",1,74342.467
"R",2012-03-31,"EL ROSARIO","Residencial 1",1,115542.96
"U",2012-03-31,"LEIVA","Residencial 1",1,121816.1
"R",2012-03-31,"POLICARPA","Residencial 1",1,153412.8
"R",2012-03-31,"BARBACOAS","Residencial 1",1,161168.82
"U",2012-03-31,"BARBACOAS","Residencial 1",1,247218.68
"R",2012-04-30,"CUMBITARA","Oficial",0,14.609
"U",2012-04-30,"CUMBITARA","Residencial 2",2,37.473
"U",2012-04-30,"CUMBITARA","Residencial 3",3,111.148
"U",2012-04-30,"POLICARPA","Especial",0,144.432
"R",2012-04-30,"CUMBITARA","Residencial 2",2,184.188
"R",2012-04-30,"CUMBITARA","Residencial 1",1,228.647
"R",2012-04-30,"POLICARPA","Comercial",0,286.165
"R",2012-04-30,"POLICARPA","Residencial 3",3,380.653
"R",2012-04-30,"LEIVA","Comercial",0,396.98
"R",2012-04-30,"MAGUI","Oficial",0,429.491
"U",2012-04-30,"EL ROSARIO","Residencial 1",1,515.538
"R",2012-04-30,"POLICARPA","Oficial",0,546.683
"U",2012-04-30,"CUMBITARA","Residencial 1",1,607.189
"R",2012-04-30,"POLICARPA","Oficial",0,681.666
"U",2012-04-30,"CUMBITARA","Oficial",0,687.212
"R",2012-04-30,"LEIVA","Especial",0,700.756
"R",2012-04-30,"CUMBITARA","Residencial 2",2,712.619
"R",2012-04-30,"CUMBITARA","Especial",0,719.142
"U",2012-04-30,"BARBACOAS","Residencial Sub",1,756.5
"U",2012-04-30,"CUMBITARA","Comercial",0,795.185
"R",2012-04-30,"BARBACOAS","Comercial",0,842.882
"U",2012-04-30,"LEIVA","Comercial",0,925.136
"U",2012-04-30,"CUMBITARA","Oficial",0,1015.576
"R",2012-04-30,"BARBACOAS","Especial",0,1087.03
"R",2012-04-30,"LEIVA","Oficial",0,1180.583
"R",2012-04-30,"BARBACOAS","Residencial 2",2,1210.962
"R",2012-04-30,"POLICARPA","Residencial 2",2,1260.744
"R",2012-04-30,"EL ROSARIO","Especial",0,1337.292
"U",2012-04-30,"MAGUI","Oficial",0,1363.37
"U",2012-04-30,"POLICARPA","Comercial",0,1391.679
"R",2012-04-30,"POLICARPA","Residencial 2",2,1474.864
"U",2012-04-30,"EL ROSARIO","Oficial",0,1500.096
"R",2012-04-30,"CUMBITARA","Comercial",0,1610.566
"R",2012-04-30,"EL ROSARIO","Oficial",0,1705.536
"R",2012-04-30,"LEIVA","Residencial 2",2,1712.192
"U",2012-04-30,"BARBACOAS","Industrial",0,1725.03
"U",2012-04-30,"LEIVA","Residencial 1",1,1767.423
"R",2012-04-30,"POLICARPA","Especial",0,1793.836
"R",2012-04-30,"EL ROSARIO","Residencial 1",1,1856.707
"R",2012-04-30,"EL ROSARIO","Residencial 2",2,1934.231
"U",2012-04-30,"BARBACOAS","Residencial 3",3,2028.677
"U",2012-04-30,"POLICARPA","Residencial 1",1,2317.566
"R",2012-04-30,"LEIVA","Residencial 1",1,2412.948
"U",2012-04-30,"EL ROSARIO","Comercial",0,2469.149
"U",2012-04-30,"EL ROSARIO","Especial",0,3042.829
"U",2012-04-30,"POLICARPA","Oficial",0,3633.808
"U",2012-04-30,"POLICARPA","Residencial 2",2,5439.833
"U",2012-04-30,"LEIVA","Residencial 2",2,6396.555
"R",2012-04-30,"BARBACOAS","Oficial",0,6721.02
"R",2012-04-30,"POLICARPA","Residencial 1",1,7526.453
"U",2012-04-30,"LEIVA","Oficial",0,7903.832
"R",2012-04-30,"ROBERTO PAYAN","Residencial 1",1,9218.411
"U",2012-04-30,"CUMBITARA","Residencial 2",2,9437.113
"U",2012-04-30,"CUMBITARA","Residencial 1",1,9998.461
"R",2012-04-30,"ROBERTO PAYAN","Residencial Sub",1,17926.281
"U",2012-04-30,"EL ROSARIO","Residencial 2",2,25190.24
"R",2012-04-30,"CUMBITARA","Residencial 1",1,25373.2
"U",2012-04-30,"BARBACOAS","Oficial",0,26453.865
"U",2012-04-30,"BARBACOAS","Comercial",0,34463.059
"U",2012-04-30,"MAGUI","Residencial Sub",1,38865.178
"R",2012-04-30,"MAGUI","Residencial Sub",1,39289.484
"U",2012-04-30,"EL ROSARIO","Residencial 1",1,54653.865
"U",2012-04-30,"ROBERTO PAYAN","Residencial Sub",1,54971.618
"U",2012-04-30,"BARBACOAS","Residencial 2",2,62899.859
"U",2012-04-30,"POLICARPA","Residencial 1",1,66638.42
"R",2012-04-30,"LEIVA","Residencial 1",1,77001.382
"R",2012-04-30,"EL ROSARIO","Residencial 1",1,120183.17
"U",2012-04-30,"LEIVA","Residencial 1",1,132301.41
"R",2012-04-30,"POLICARPA","Residencial 1",1,134578.26
"R",2012-04-30,"BARBACOAS","Residencial 1",1,186106
"U",2012-04-30,"BARBACOAS","Residencial 1",1,289692.34
"U",2012-05-31,"CUMBITARA","Residencial 3",3,97.628
"U",2012-05-31,"POLICARPA","Especial",0,128.675
"R",2012-05-31,"MAGUI","Oficial",0,194.483
"R",2012-05-31,"LEIVA","Comercial",0,228.881
"U",2012-05-31,"POLICARPA","Residencial 3",3,332.066
"R",2012-05-31,"POLICARPA","Comercial",0,391.561
"R",2012-05-31,"CUMBITARA","Especial",0,525.616
"R",2012-05-31,"CUMBITARA","Oficial",0,568.066
"U",2012-05-31,"CUMBITARA","Comercial",0,570.212
"R",2012-05-31,"LEIVA","Especial",0,668.087
"R",2012-05-31,"BARBACOAS","Comercial",0,669.454
"R",2012-05-31,"CUMBITARA","Residencial 2",2,697.343
"U",2012-05-31,"BARBACOAS","Residencial Sub",1,721.912
"R",2012-05-31,"POLICARPA","Oficial",0,741.613
"U",2012-05-31,"CUMBITARA","Oficial",0,757.423
"U",2012-05-31,"LEIVA","Comercial",0,825.829
"R",2012-05-31,"BARBACOAS","Residencial 2",2,888.7
"R",2012-05-31,"BARBACOAS","Especial",0,915.154
"R",2012-05-31,"LEIVA","Oficial",0,1014.501
"U",2012-05-31,"BARBACOAS","Industrial",0,1159.055
"U",2012-05-31,"POLICARPA","Comercial",0,1207.89
"U",2012-05-31,"EL ROSARIO","Oficial",0,1317.003
"R",2012-05-31,"CUMBITARA","Comercial",0,1321.197
"U",2012-05-31,"MAGUI","Oficial",0,1467.874
"R",2012-05-31,"LEIVA","Residencial 2",2,1472.266
"R",2012-05-31,"POLICARPA","Especial",0,1659.472
"R",2012-05-31,"POLICARPA","Residencial 2",2,1699.07
"R",2012-05-31,"EL ROSARIO","Especial",0,1708.046
"R",2012-05-31,"EL ROSARIO","Oficial",0,1892.5
"R",2012-05-31,"EL ROSARIO","Residencial 2",2,2099.088
"U",2012-05-31,"EL ROSARIO","Comercial",0,2527.022
"U",2012-05-31,"BARBACOAS","Residencial 3",3,2615.367
"U",2012-05-31,"EL ROSARIO","Especial",0,3227.949
"U",2012-05-31,"POLICARPA","Oficial",0,3655.767
"R",2012-05-31,"BARBACOAS","Oficial",0,4979.44
"U",2012-05-31,"POLICARPA","Residencial 2",2,6025.607
"U",2012-05-31,"LEIVA","Residencial 2",2,6136.503
"U",2012-05-31,"LEIVA","Oficial",0,7092.85
"U",2012-05-31,"CUMBITARA","Residencial 2",2,7528.1
"R",2012-05-31,"ROBERTO PAYAN","Residencial 1",1,8069.054
"U",2012-05-31,"CUMBITARA","Residencial 1",1,8319.41
"R",2012-05-31,"ROBERTO PAYAN","Residencial Sub",1,15992.379
"R",2012-05-31,"CUMBITARA","Residencial 1",1,21990.89
"U",2012-05-31,"BARBACOAS","Oficial",0,26429.106
"U",2012-05-31,"EL ROSARIO","Residencial 2",2,27527.951
"U",2012-05-31,"BARBACOAS","Comercial",0,33506.715
"U",2012-05-31,"MAGUI","Residencial Sub",1,36398.883
"R",2012-05-31,"MAGUI","Residencial Sub",1,38383.987
"U",2012-05-31,"ROBERTO PAYAN","Residencial Sub",1,49451.258
"U",2012-05-31,"EL ROSARIO","Residencial 1",1,57768.03
"U",2012-05-31,"BARBACOAS","Residencial 2",2,58664.647
"U",2012-05-31,"POLICARPA","Residencial 1",1,69004.862
"R",2012-05-31,"LEIVA","Residencial 1",1,73130.176
"R",2012-05-31,"EL ROSARIO","Residencial 1",1,124883.82
"U",2012-05-31,"LEIVA","Residencial 1",1,126408.26
"R",2012-05-31,"POLICARPA","Residencial 1",1,143964.34
"R",2012-05-31,"BARBACOAS","Residencial 1",1,156608.38
"U",2012-05-31,"BARBACOAS","Residencial 1",1,258499.94
"U",2012-06-30,"CUMBITARA","Residencial 3",3,105.845
"R",2012-06-30,"POLICARPA","Comercial",0,135.489
"U",2012-06-30,"POLICARPA","Especial",0,146.013
"R",2012-06-30,"LEIVA","Comercial",0,233.167
"U",2012-06-30,"POLICARPA","Residencial 3",3,347.274
"R",2012-06-30,"MAGUI","Oficial",0,447.826
"R",2012-06-30,"CUMBITARA","Especial",0,559.046
"R",2012-06-30,"CUMBITARA","Oficial",0,563.741
"U",2012-06-30,"CUMBITARA","Comercial",0,574.67
"R",2012-06-30,"LEIVA","Especial",0,702.784
"R",2012-06-30,"CUMBITARA","Residencial 2",2,711.58
"U",2012-06-30,"BARBACOAS","Residencial Sub",1,741.754
"U",2012-06-30,"LEIVA","Comercial",0,775.033
"R",2012-06-30,"POLICARPA","Oficial",0,777.42
"U",2012-06-30,"POLICARPA","Comercial",0,844.509
"U",2012-06-30,"CUMBITARA","Oficial",0,934.774
"U",2012-06-30,"BARBACOAS","Industrial",0,1052.316
"R",2012-06-30,"LEIVA","Oficial",0,1192.107
"R",2012-06-30,"BARBACOAS","Comercial",0,1203.746
"R",2012-06-30,"BARBACOAS","Especial",0,1242.94
"U",2012-06-30,"MAGUI","Oficial",0,1387.494
"R",2012-06-30,"CUMBITARA","Comercial",0,1448.928
"R",2012-06-30,"LEIVA","Residencial 2",2,1556.635
"R",2012-06-30,"POLICARPA","Especial",0,1559.856
"R",2012-06-30,"POLICARPA","Residencial 2",2,1642.976
"R",2012-06-30,"BARBACOAS","Residencial 2",2,1955.766
"R",2012-06-30,"EL ROSARIO","Oficial",0,2064.544
"R",2012-06-30,"EL ROSARIO","Residencial 2",2,2211.459
"U",2012-06-30,"BARBACOAS","Residencial 3",3,2330.494
"U",2012-06-30,"EL ROSARIO","Comercial",0,2675.4
"U",2012-06-30,"ROBERTO PAYAN","Oficial",0,3076.358
"R",2012-06-30,"EL ROSARIO","Especial",0,3282.391
"U",2012-06-30,"EL ROSARIO","Oficial",0,3437.347
"U",2012-06-30,"EL ROSARIO","Especial",0,3549.158
"U",2012-06-30,"POLICARPA","Oficial",0,4223.908
"U",2012-06-30,"POLICARPA","Residencial 2",2,6031.261
"U",2012-06-30,"LEIVA","Residencial 2",2,6210.122
"R",2012-06-30,"BARBACOAS","Oficial",0,6943.026
"U",2012-06-30,"LEIVA","Oficial",0,7814.835
"R",2012-06-30,"ROBERTO PAYAN","Residencial 1",1,8629.465
"U",2012-06-30,"CUMBITARA","Residencial 2",2,8859.167
"U",2012-06-30,"CUMBITARA","Residencial 1",1,9749.281
"R",2012-06-30,"ROBERTO PAYAN","Residencial Sub",1,17625.753
"R",2012-06-30,"CUMBITARA","Residencial 1",1,23513.103
"U",2012-06-30,"EL ROSARIO","Residencial 2",2,25636.678
"U",2012-06-30,"BARBACOAS","Oficial",0,31982.623
"U",2012-06-30,"MAGUI","Residencial Sub",1,35361.277
"U",2012-06-30,"BARBACOAS","Comercial",0,36231.29
"R",2012-06-30,"MAGUI","Residencial Sub",1,38289.905
"U",2012-06-30,"ROBERTO PAYAN","Residencial Sub",1,46136.037
"U",2012-06-30,"EL ROSARIO","Residencial 1",1,58393.591
"U",2012-06-30,"BARBACOAS","Residencial 2",2,61945.45
"R",2012-06-30,"LEIVA","Residencial 1",1,71746.48
"U",2012-06-30,"POLICARPA","Residencial 1",1,73134.163
"R",2012-06-30,"EL ROSARIO","Residencial 1",1,125156.77
"U",2012-06-30,"LEIVA","Residencial 1",1,131954.85
"R",2012-06-30,"POLICARPA","Residencial 1",1,135379
"R",2012-06-30,"BARBACOAS","Residencial 1",1,179102.31
"U",2012-06-30,"BARBACOAS","Residencial 1",1,267894.23
"R",2012-07-31,"POLICARPA","Comercial",0,101.087
"U",2012-07-31,"CUMBITARA","Residencial 3",3,113.524
"U",2012-07-31,"POLICARPA","Especial",0,223.532
"R",2012-07-31,"LEIVA","Comercial",0,277.18
"U",2012-07-31,"POLICARPA","Residencial 3",3,397.232
"R",2012-07-31,"MAGUI","Oficial",0,497.154
"R",2012-07-31,"BARBACOAS","Comercial",0,514.3
"U",2012-07-31,"CUMBITARA","Comercial",0,560.602
"R",2012-07-31,"CUMBITARA","Especial",0,560.654
"R",2012-07-31,"CUMBITARA","Oficial",0,575.909
"R",2012-07-31,"LEIVA","Especial",0,754.051
"R",2012-07-31,"CUMBITARA","Residencial 2",2,755.762
"U",2012-07-31,"LEIVA","Comercial",0,831.541
"U",2012-07-31,"POLICARPA","Comercial",0,867.076
"U",2012-07-31,"BARBACOAS","Industrial",0,893.049
"U",2012-07-31,"BARBACOAS","Residencial 3",3,978.766
"R",2012-07-31,"POLICARPA","Oficial",0,1074.948
"R",2012-07-31,"BARBACOAS","Especial",0,1101.081
"U",2012-07-31,"CUMBITARA","Oficial",0,1101.434
"R",2012-07-31,"EL ROSARIO","Residencial 2",2,1234.983
"U",2012-07-31,"MAGUI","Oficial",0,1315.009
"R",2012-07-31,"LEIVA","Oficial",0,1347.157
"R",2012-07-31,"LEIVA","Residencial 2",2,1382.921
"R",2012-07-31,"BARBACOAS","Residencial 2",2,1407.348
"R",2012-07-31,"CUMBITARA","Comercial",0,1591.243
"R",2012-07-31,"POLICARPA","Especial",0,1624.581
"R",2012-07-31,"POLICARPA","Residencial 2",2,2092.945
"R",2012-07-31,"EL ROSARIO","Especial",0,2455.645
"R",2012-07-31,"EL ROSARIO","Oficial",0,2462.805
"U",2012-07-31,"EL ROSARIO","Comercial",0,2502.18
"U",2012-07-31,"ROBERTO PAYAN","Oficial",0,2758.783
"U",2012-07-31,"EL ROSARIO","Especial",0,3049.868
"U",2012-07-31,"EL ROSARIO","Oficial",0,3205.225
"U",2012-07-31,"POLICARPA","Oficial",0,4169.086
"R",2012-07-31,"BARBACOAS","Oficial",0,5512.58
"U",2012-07-31,"LEIVA","Residencial 2",2,5826.752
"U",2012-07-31,"POLICARPA","Residencial 2",2,6559.315
"U",2012-07-31,"LEIVA","Oficial",0,7037.402
"R",2012-07-31,"ROBERTO PAYAN","Residencial 1",1,7764.353
"U",2012-07-31,"CUMBITARA","Residencial 2",2,10224.493
"U",2012-07-31,"CUMBITARA","Residencial 1",1,10655.92
"R",2012-07-31,"ROBERTO PAYAN","Residencial Sub",1,14362.336
"U",2012-07-31,"BARBACOAS","Oficial",0,21316.071
"U",2012-07-31,"EL ROSARIO","Residencial 2",2,25104.135
"R",2012-07-31,"CUMBITARA","Residencial 1",1,27142.868
"U",2012-07-31,"BARBACOAS","Comercial",0,30606.513
"U",2012-07-31,"MAGUI","Residencial Sub",1,31476.608
"R",2012-07-31,"MAGUI","Residencial Sub",1,33358.486
"U",2012-07-31,"ROBERTO PAYAN","Residencial Sub",1,40224.943
"U",2012-07-31,"BARBACOAS","Residencial 2",2,46728.984
"U",2012-07-31,"EL ROSARIO","Residencial 1",1,53396.271
"R",2012-07-31,"LEIVA","Residencial 1",1,69358.014
"U",2012-07-31,"POLICARPA","Residencial 1",1,79341.227
"R",2012-07-31,"EL ROSARIO","Residencial 1",1,122253.03
"U",2012-07-31,"LEIVA","Residencial 1",1,122880.25
"R",2012-07-31,"POLICARPA","Residencial 1",1,145600.75
"R",2012-07-31,"BARBACOAS","Residencial 1",1,150688.94
"U",2012-07-31,"BARBACOAS","Residencial 1",1,225976.72
"R",2012-08-31,"CUMBITARA","Especial",0,79.57
"U",2012-08-31,"CUMBITARA","Residencial 3",3,130.162
"U",2012-08-31,"POLICARPA","Especial",0,191.75
"R",2012-08-31,"POLICARPA","Comercial",0,203.491
"R",2012-08-31,"LEIVA","Comercial",0,275.259
"U",2012-08-31,"POLICARPA","Residencial 3",3,336.542
"R",2012-08-31,"CUMBITARA","Especial",0,351.872
"R",2012-08-31,"MAGUI","Oficial",0,408.373
"R",2012-08-31,"CUMBITARA","Oficial",0,526.732
"R",2012-08-31,"LEIVA","Especial",0,528.624
"U",2012-08-31,"CUMBITARA","Comercial",0,571.742
"R",2012-08-31,"CUMBITARA","Residencial 2",2,749.954
"U",2012-08-31,"POLICARPA","Comercial",0,800.917
"U",2012-08-31,"LEIVA","Comercial",0,891.464
"R",2012-08-31,"LEIVA","Oficial",0,941.512
"R",2012-08-31,"BARBACOAS","Especial",0,962.914
"U",2012-08-31,"BARBACOAS","Residencial 3",3,964.528
"U",2012-08-31,"CUMBITARA","Oficial",0,965.269
"R",2012-08-31,"BARBACOAS","Residencial 2",2,1072.374
"R",2012-08-31,"POLICARPA","Oficial",0,1106.151
"R",2012-08-31,"BARBACOAS","Comercial",0,1184.645
"U",2012-08-31,"MAGUI","Oficial",0,1260.939
"R",2012-08-31,"LEIVA","Residencial 2",2,1473.263
"R",2012-08-31,"CUMBITARA","Comercial",0,1508.91
"U",2012-08-31,"BARBACOAS","Industrial",0,1685.779
"R",2012-08-31,"POLICARPA","Especial",0,1759.291
"R",2012-08-31,"EL ROSARIO","Especial",0,1837.515
"R",2012-08-31,"EL ROSARIO","Residencial 2",2,2152.946
"R",2012-08-31,"POLICARPA","Residencial 2",2,2156.214
"R",2012-08-31,"EL ROSARIO","Oficial",0,2193.001
"U",2012-08-31,"EL ROSARIO","Comercial",0,2323.18
"U",2012-08-31,"EL ROSARIO","Especial",0,2703.701
"U",2012-08-31,"EL ROSARIO","Oficial",0,2927.607
"U",2012-08-31,"POLICARPA","Oficial",0,3570.263
"U",2012-08-31,"ROBERTO PAYAN","Oficial",0,3839.716
"R",2012-08-31,"BARBACOAS","Oficial",0,4858.305
"R",2012-08-31,"EL ROSARIO","Residencial 1",1,5080.287
"U",2012-08-31,"POLICARPA","Residencial 2",2,6036.876
"U",2012-08-31,"LEIVA","Residencial 2",2,6293.37
"U",2012-08-31,"LEIVA","Oficial",0,7912.573
"U",2012-08-31,"CUMBITARA","Residencial 1",1,10666.626
"R",2012-08-31,"ROBERTO PAYAN","Residencial 1",1,10670.234
"U",2012-08-31,"CUMBITARA","Residencial 2",2,11154.142
"R",2012-08-31,"ROBERTO PAYAN","Residencial Sub",1,18527.287
"U",2012-08-31,"EL ROSARIO","Residencial 2",2,23318.584
"U",2012-08-31,"BARBACOAS","Oficial",0,23460.549
"R",2012-08-31,"CUMBITARA","Residencial 1",1,25354.202
"U",2012-08-31,"MAGUI","Residencial Sub",1,32426.995
"U",2012-08-31,"BARBACOAS","Comercial",0,32472.274
"R",2012-08-31,"MAGUI","Residencial Sub",1,34648.538
"U",2012-08-31,"BARBACOAS","Residencial 2",2,50248.096
"U",2012-08-31,"EL ROSARIO","Residencial 1",1,50474.242
"U",2012-08-31,"ROBERTO PAYAN","Residencial Sub",1,51285.039
"R",2012-08-31,"LEIVA","Residencial 1",1,65927.436
"U",2012-08-31,"POLICARPA","Residencial 1",1,72854.742
"R",2012-08-31,"EL ROSARIO","Residencial 1",1,121324.94
"U",2012-08-31,"LEIVA","Residencial 1",1,126699.97
"R",2012-08-31,"POLICARPA","Residencial 1",1,144687.85
"R",2012-08-31,"BARBACOAS","Residencial 1",1,157663.49
"U",2012-08-31,"BARBACOAS","Residencial 1",1,246995.88
"R",2012-09-30,"POLICARPA","Residencial 1",1,26.743
"R",2012-09-30,"CUMBITARA","Residencial 1",1,76.547
"R",2012-09-30,"CUMBITARA","Especial",0,88.253
"U",2012-09-30,"CUMBITARA","Residencial 3",3,112.311
"U",2012-09-30,"POLICARPA","Especial",0,207.261
"R",2012-09-30,"LEIVA","Comercial",0,213.612
"R",2012-09-30,"MAGUI","Oficial",0,226.872
"R",2012-09-30,"POLICARPA","Comercial",0,274.949
"U",2012-09-30,"POLICARPA","Residencial 3",3,346.326
"R",2012-09-30,"CUMBITARA","Especial",0,466.187
"U",2012-09-30,"CUMBITARA","Comercial",0,495.675
"R",2012-09-30,"CUMBITARA","Oficial",0,597.32
"R",2012-09-30,"LEIVA","Especial",0,605.764
"U",2012-09-30,"POLICARPA","Comercial",0,693.99
"R",2012-09-30,"CUMBITARA","Residencial 2",2,783.668
"U",2012-09-30,"LEIVA","Comercial",0,879.953
"R",2012-09-30,"BARBACOAS","Comercial",0,912.691
"U",2012-09-30,"CUMBITARA","Oficial",0,984.449
"R",2012-09-30,"POLICARPA","Oficial",0,1112.522
"U",2012-09-30,"BARBACOAS","Residencial 3",3,1130.493
"R",2012-09-30,"LEIVA","Oficial",0,1135.011
